objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
51507,Orchid Pavilion or Lanting,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_106_O.jpg,"Image: 15 3/4 x 12 1/8 in. (40 x 30.8 cm)
Overall (with colophons): 35 1/4 x 12 1/8 in. (89.5 x 30.8 cm)
Overall with mounting: 57 1/4 x 14 7/8 in. (145.4 x 37.8 cm)"
51515,Cloudy Mountain in the Style of Mi Fu (1052–1107),China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP166197_CRD.jpg,10 1/2 x 86 in. (26.7 x 218.4 cm)
51572,A Secluded Fishing Village,China,unknown,1929,https://images.metmuseum.org/CRDImages/as/web-large/DP200883_CRD.jpg,16 3/8 x 52 in. (41.6 x 132.1 cm)
51682,River Scene,China,Qing dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP154424.jpg,9 3/8 x 11 3/4 in. (23.8 x 29.8 cm)
40422,Scholar Admiring Autumn Scenery,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/13_220_28_d1.jpg,"Image: 89 x 40 1/4 in. (226.1 x 102.2 cm)
Overall with mounting: 137 3/4 x 44 in. (349.9 x 111.8 cm)
Overall with knobs: 137 3/4 x 48 5/8 in. (349.9 x 123.5 cm)"
679188,Three scenes from festivals of the twelve months,China,Qing dynasty,2015,,Each panel: 83 1/2 × 28 in. (212.1 × 71.1 cm)
46391,Saucer with rooster,China,Qing dynasty,1879,https://images.metmuseum.org/CRDImages/as/web-large/79_2_1094_O1_sf.jpg,Diam. 4 1/2 in. (11.4 cm)
51740,Sage under Windy Tree,China,Qing dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP154430.jpg,9 x 9 5/8 in. (22.9 x 24.4 cm)
51736,Sages Admiring Waterfall,China,Ming dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP153562.jpg,9 1/4 x 10 1/8 in. (23.5 x 25.7 cm)
51743,Fisherman Returning Home,China,unknown,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP154431.jpg,9 1/4 x 9 1/3 in. (23.5 x 23.7 cm)
51764,Dragon-boat festival performance,China,Qing dynasty,1949,https://images.metmuseum.org/CRDImages/as/web-large/DP-15147-001.jpg,"30 × 42 1/2 in. (76.2 × 108 cm)
Pressure-mounted: 35 × 47 × 1 1/2 in. (88.9 × 119.4 × 3.8 cm)"
51859,Scholar Contemplating Towering Rock,China,unknown,1971,https://images.metmuseum.org/CRDImages/as/web-large/1971_124_O.JPG,"Image: 55 x 30 3/8 in. (139.7 x 77.2 cm)
Overall with mounting: 111 x 36 7/8 in. (281.9 x 93.7 cm)
Overall with rollers: 111 x 41 in. (281.9 x 104.1 cm)"
51887,River Scene in Winter,China,Qing dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP205813_CRD.jpg,11 1/4 x 152 1/4 in. (28.6 x 386.7cm)
63341,A Page from the Jie Zi Yuan,China,unknown,1924,https://images.metmuseum.org/CRDImages/as/web-large/CP44.jpg,9 5/8 x 5 7/8 in. (24.4 x 14.9 cm)
43857,Brush Holder with Recluses,China,Qing dynasty,1902,https://images.metmuseum.org/CRDImages/as/web-large/32800.jpg,H. 7 1/8 in. (18.1 cm); W. 7 5/8 in. (19.4 cm)
41109,Snuff bottle with stopper,China,Qing dynasty,1902,https://images.metmuseum.org/CRDImages/as/web-large/78219.jpg,H. 3 1/16 in. (7.8 cm)
48901,Gathering at the Orchid Pavilion,China,Ming dynasty,1980,https://images.metmuseum.org/CRDImages/as/web-large/DP204430_CRD.jpg,"Image: 9 1/2 x 171 1/2 in. (24.1 x 435.6 cm)
Overall with mounting: 9 3/4 x 491 3/8 in. (24.8 x 1248.1 cm)"
51391,Pavilion on a pond,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153556.jpg,11 1/2 x 12 in. (29.2 x 30.5 cm)
36234,Invitation to a Drinking Party,China,unknown,1986,,7 1/8 x 20 1/8 in. (18.1 x 51.1 cm)
75621,"West Lake, Hangzhou: Little Isle of the Immortals",China,unknown,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
75631,Riverscapes,China,unknown,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
75702,"West Lake, Hangzhou: View toward the Little Isle of the Immortals",China,unknown,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
